1.36864  0 5.34923799451513
1.39364  0 4.95628459861369
1.41864  0 4.57656603957135
1.44364  0 4.20922006328836
1.46864  0 3.85347365813172
1.49364  0 3.50859991643709
1.51864  0 3.17393442736344
1.54364  0 2.84885158243854
1.56864  0 2.53279076443236
1.59364  0 2.2252122010651
1.61864  0 1.92562903357809
1.64364  0 1.63357932450527
1.66864  0 1.34864277901305
1.69364  0 1.07041984899209
1.71864  0 0.798540628060692
1.74364  0 0.532660560420861
1.76864  0 0.272469914349327
1.79364  0 0.017652344461302
1.81864  0 -0.232061163586533
1.84364  0 -0.476931057260918
1.86864  0 -0.717207841442642
1.89364  0 -0.953114637040066
1.91864  0 -1.18486758659214
1.94364  0 -1.41266948721965
1.96864  0 -1.63670606399029
1.99364  0 -1.85715287007626
2.01864  0 -2.07417364685913
2.04364  0 -2.28792899206354
2.06864  0 -2.4985468079195
2.09364  0 -2.70619402419195
2.11864  0 -2.91097560266596
2.14364  0 -3.1130218412119
2.16864  0 -3.31243640072989
2.19364  0 -3.50932532252417
2.21864  0 -3.70382522051424
2.24364  0 -3.89597105609692
2.26864  0 -4.08586539611084
2.29364  0 -4.27362384365657
2.31864  0 -4.45929436415225
2.34364  0 -4.64297254518173
2.36864  0 -4.82469256893738
2.39364  0 -5.00457138378899
2.41864  0 -5.18261331008136
2.44364  0 -5.35888357219497
2.46864  0 -5.53348577406132
2.49364  0 -5.70641540920698
2.51864  0 -5.87774574771767
2.54364  0 -6.04750595782964
2.56864  0 -6.21574609252772
2.59364  0 -6.38252151785579
2.61864  0 -6.54781731824784
2.64364  0 -6.71171933936747
2.66864  0 -6.87426024681603
2.69364  0 -7.03542676789749
2.71864  0 -7.19528146923033
2.74364  0 -7.35384790991033
2.76864  0 -7.51111885777917
2.79364  0 -7.66714344850257
2.81864  0 -7.82194828757653
2.84364  0 -7.97556959348592
2.86864  0 -8.12796974750453
2.89364  0 -8.27918974636812
2.91864  0 -8.42929436083253
2.94364  0 -8.57823613026055
2.96864  0 -8.72602411784741
2.99364  0 -8.87274358022746
3.01864  0 -9.01834777498651
3.04364  0 -9.16284153728087
3.06864  0 -9.3062590297428
3.09364  0 -9.44863658182812
3.11864  0 -9.58991399149695
3.14364  0 -9.73018104222612
3.16864  0 -9.86938365022064
3.19364  0 -10.0075576478316
3.21864  0 -10.1446841861322
3.24364  0 -10.2807924398846
3.26864  0 -10.4159007639791
3.29364  0 -10.5499684638585
3.31864  0 -10.6830571769007
3.34364  0 -10.8151469418396
3.36864  0 -10.9462173870109
